,date,count_first_or_mid_general,count_second_or_full_general,first,second,1st,2nd,1st_ratio,2nd_ratio
101,2021-07-22,254076.0,311453.0,42045172.0,26481438.0,0.20224150282575817,0.24791291888880043,33.467461593568416,21.078912680092333
102,2021-07-23,193949.0,236674.0,42239121.0,26718112.0,0.15438111915943645,0.18838971583220568,33.62184271272785,21.26730239592454
103,2021-07-24,387246.0,776420.0,42626367.0,27494532.0,0.3082432539998408,0.6180211732866353,33.93008596672769,21.885323569211177
104,2021-07-25,355513.0,724084.0,42981880.0,28218616.0,0.2829841598344345,0.5763623338374592,34.21307012656213,22.461685903048632
105,2021-07-26,442008.0,779110.0,43423888.0,28997726.0,0.3518331608692191,0.6201623815967523,34.56490328743135,23.081848284645385
106,2021-07-27,495948.0,792218.0,43919836.0,29789944.0,0.3947687654222718,0.6305961951763114,34.95967205285362,23.7124444798217
107,2021-07-28,496721.0,812281.0,44416557.0,30602225.0,0.39538406431584816,0.6465661068216191,35.35505611716946,24.35901058664332
108,2021-07-29,497698.0,788880.0,44914255.0,31391105.0,0.3961617448061769,0.6279391865000398,35.75121786197564,24.98694977314336
109,2021-07-30,519096.0,788305.0,45433351.0,32179410.0,0.4131943007243493,0.6274814932738996,36.164412162699996,25.61443126641726
110,2021-07-31,563308.0,842099.0,45996659.0,33021509.0,0.4483865318793282,0.6703008835469235,36.61279869457932,26.284732149964178
111,2021-08-01,501497.0,582612.0,46498156.0,33604121.0,0.39918570405158005,0.46375228846613065,37.0119843986309,26.74848443843031
112,2021-08-02,477061.0,594004.0,46975217.0,34198125.0,0.3797349359229484,0.47282018626124334,37.39171933455385,27.221304624691555
113,2021-08-03,492420.0,618447.0,47467637.0,34816572.0,0.39196051898431905,0.4922765263074107,37.78367985353817,27.713581150998966
114,2021-08-04,484383.0,608542.0,47952020.0,35425114.0,0.3855631616652074,0.48439226299450766,38.16924301520338,28.19797341399347
115,2021-08-05,470977.0,589399.0,48422997.0,36014513.0,0.37489214359627476,0.46915466051102445,38.54413515879965,28.6671280745045
116,2021-08-06,474618.0,603346.0,48897615.0,36617859.0,0.3777903367030168,0.4802563082066385,38.92192549550267,29.147384382711135
117,2021-08-07,604630.0,630157.0,49502245.0,37248016.0,0.48127835708031524,0.5015975483562843,39.403203852582976,29.648981931067418
118,2021-08-08,543823.0,469669.0,50046068.0,37717685.0,0.43287670142481893,0.37385099100533314,39.8360805540078,30.02283292207275
119,2021-08-09,137129.0,125873.0,50183197.0,37843558.0,0.1091530685345857,0.10019342513730796,39.94523362254239,30.123026347210065
120,2021-08-10,364985.0,510485.0,50548182.0,38354043.0,0.29052376024834836,0.4063400461673168,40.23575738279073,30.529366393377376
121,2021-08-11,361397.0,429730.0,50909579.0,38783773.0,0.28766775451723314,0.3420600175117408,40.52342513730797,30.871426410889118
122,2021-08-12,330074.0,212835.0,51239653.0,38996608.0,0.2627350155217703,0.16941415267054047,40.78616015282974,31.04084056355966
123,2021-08-13,206289.0,123633.0,51445942.0,39120241.0,0.16420361378651596,0.09841041152590942,40.950363766616256,31.13925097508557
124,2021-08-14,186657.0,168997.0,51632599.0,39289238.0,0.14857677306375866,0.13451962110960758,41.098940539680015,31.273770596195178
