,Date,Prefecture,Severe cases
333,2020/5/15,Miyazaki,0
334,2020/5/15,Kagoshima,0
335,2020/5/15,Okinawa,4
336,2020/5/16,ALL,230
337,2020/5/16,Hokkaido,18
338,2020/5/16,Aomori,0
339,2020/5/16,Iwate,0
340,2020/5/16,Miyagi,0
341,2020/5/16,Akita,0
342,2020/5/16,Yamagata,2
343,2020/5/16,Fukushima,2
344,2020/5/16,Ibaraki,1
345,2020/5/16,Tochigi,5
346,2020/5/16,Gunma,1
347,2020/5/16,Saitama,8
348,2020/5/16,Chiba,11
349,2020/5/16,Tokyo,55
350,2020/5/16,Kanagawa,34
351,2020/5/16,Niigata,0
352,2020/5/16,Toyama,2
353,2020/5/16,Ishikawa,3
354,2020/5/16,Fukui,2
355,2020/5/16,Yamanashi,1
356,2020/5/16,Nagano,2
357,2020/5/16,Gifu,1
358,2020/5/16,Shizuoka,2
359,2020/5/16,Aichi,2
360,2020/5/16,Mie,0
361,2020/5/16,Shiga,1
362,2020/5/16,Kyoto,1
363,2020/5/16,Osaka,39
364,2020/5/16,Hyogo,19
365,2020/5/16,Nara,0
366,2020/5/16,Wakayama,0
367,2020/5/16,Tottori,0
368,2020/5/16,Shimane,1
369,2020/5/16,Okayama,0
370,2020/5/16,Hiroshima,1
371,2020/5/16,Yamaguchi,1
372,2020/5/16,Tokushima,0
373,2020/5/16,Kagawa,0
374,2020/5/16,Ehime,0
375,2020/5/16,Kochi,0
376,2020/5/16,Fukuoka,10
377,2020/5/16,Saga,0
378,2020/5/16,Nagasaki,0
379,2020/5/16,Kumamoto,1
380,2020/5/16,Oita,0
381,2020/5/16,Miyazaki,0
382,2020/5/16,Kagoshima,0
383,2020/5/16,Okinawa,4
384,2020/5/17,ALL,228
385,2020/5/17,Hokkaido,17
386,2020/5/17,Aomori,0
387,2020/5/17,Iwate,0
388,2020/5/17,Miyagi,0
389,2020/5/17,Akita,0
390,2020/5/17,Yamagata,2
391,2020/5/17,Fukushima,2
392,2020/5/17,Ibaraki,1
393,2020/5/17,Tochigi,5
394,2020/5/17,Gunma,1
395,2020/5/17,Saitama,8
396,2020/5/17,Chiba,11
397,2020/5/17,Tokyo,54
398,2020/5/17,Kanagawa,34
399,2020/5/17,Niigata,0
400,2020/5/17,Toyama,2
401,2020/5/17,Ishikawa,3
402,2020/5/17,Fukui,2
403,2020/5/17,Yamanashi,1
404,2020/5/17,Nagano,2
405,2020/5/17,Gifu,1
406,2020/5/17,Shizuoka,2
407,2020/5/17,Aichi,2
408,2020/5/17,Mie,0
409,2020/5/17,Shiga,1
410,2020/5/17,Kyoto,1
411,2020/5/17,Osaka,39
412,2020/5/17,Hyogo,17
413,2020/5/17,Nara,0
414,2020/5/17,Wakayama,0
415,2020/5/17,Tottori,0
416,2020/5/17,Shimane,1
417,2020/5/17,Okayama,0
418,2020/5/17,Hiroshima,1
419,2020/5/17,Yamaguchi,1
420,2020/5/17,Tokushima,0
421,2020/5/17,Kagawa,0
422,2020/5/17,Ehime,2
423,2020/5/17,Kochi,0
424,2020/5/17,Fukuoka,10
425,2020/5/17,Saga,0
426,2020/5/17,Nagasaki,0
427,2020/5/17,Kumamoto,1
428,2020/5/17,Oita,0
429,2020/5/17,Miyazaki,0
430,2020/5/17,Kagoshima,0
431,2020/5/17,Okinawa,4
432,2020/5/18,ALL,213
433,2020/5/18,Hokkaido,16
434,2020/5/18,Aomori,0
435,2020/5/18,Iwate,0
436,2020/5/18,Miyagi,0
437,2020/5/18,Akita,0
438,2020/5/18,Yamagata,2
439,2020/5/18,Fukushima,1
440,2020/5/18,Ibaraki,1
441,2020/5/18,Tochigi,5
442,2020/5/18,Gunma,1
443,2020/5/18,Saitama,8
444,2020/5/18,Chiba,11
445,2020/5/18,Tokyo,52
446,2020/5/18,Kanagawa,30
447,2020/5/18,Niigata,0
448,2020/5/18,Toyama,1
449,2020/5/18,Ishikawa,3
450,2020/5/18,Fukui,2
451,2020/5/18,Yamanashi,1
452,2020/5/18,Nagano,1
453,2020/5/18,Gifu,1
454,2020/5/18,Shizuoka,1
455,2020/5/18,Aichi,2
456,2020/5/18,Mie,0
457,2020/5/18,Shiga,1
458,2020/5/18,Kyoto,2
459,2020/5/18,Osaka,36
460,2020/5/18,Hyogo,17
461,2020/5/18,Nara,0
462,2020/5/18,Wakayama,0
463,2020/5/18,Tottori,0
464,2020/5/18,Shimane,1
465,2020/5/18,Okayama,0
466,2020/5/18,Hiroshima,1
467,2020/5/18,Yamaguchi,1
468,2020/5/18,Tokushima,0
469,2020/5/18,Kagawa,0
470,2020/5/18,Ehime,2
471,2020/5/18,Kochi,0
472,2020/5/18,Fukuoka,8
473,2020/5/18,Saga,0
474,2020/5/18,Nagasaki,0
475,2020/5/18,Kumamoto,1
476,2020/5/18,Oita,0
477,2020/5/18,Miyazaki,0
478,2020/5/18,Kagoshima,0
479,2020/5/18,Okinawa,4
480,2020/5/19,ALL,210
481,2020/5/19,Hokkaido,16
482,2020/5/19,Aomori,0
483,2020/5/19,Iwate,0
484,2020/5/19,Miyagi,0
485,2020/5/19,Akita,0
486,2020/5/19,Yamagata,2
487,2020/5/19,Fukushima,1
488,2020/5/19,Ibaraki,1
489,2020/5/19,Tochigi,5
490,2020/5/19,Gunma,1
491,2020/5/19,Saitama,6
492,2020/5/19,Chiba,11
493,2020/5/19,Tokyo,49
494,2020/5/19,Kanagawa,32
495,2020/5/19,Niigata,0
496,2020/5/19,Toyama,1
497,2020/5/19,Ishikawa,3
498,2020/5/19,Fukui,2
499,2020/5/19,Yamanashi,1
500,2020/5/19,Nagano,1
501,2020/5/19,Gifu,1
502,2020/5/19,Shizuoka,1
503,2020/5/19,Aichi,2
504,2020/5/19,Mie,0
505,2020/5/19,Shiga,1
506,2020/5/19,Kyoto,4
507,2020/5/19,Osaka,36
508,2020/5/19,Hyogo,15
509,2020/5/19,Nara,0
510,2020/5/19,Wakayama,0
511,2020/5/19,Tottori,0
512,2020/5/19,Shimane,1
513,2020/5/19,Okayama,0
514,2020/5/19,Hiroshima,1
515,2020/5/19,Yamaguchi,1
516,2020/5/19,Tokushima,0
517,2020/5/19,Kagawa,0
518,2020/5/19,Ehime,2
519,2020/5/19,Kochi,0
520,2020/5/19,Fukuoka,8
521,2020/5/19,Saga,0
522,2020/5/19,Nagasaki,0
523,2020/5/19,Kumamoto,1
524,2020/5/19,Oita,0
525,2020/5/19,Miyazaki,0
526,2020/5/19,Kagoshima,0
527,2020/5/19,Okinawa,4
528,2020/5/20,ALL,195
529,2020/5/20,Hokkaido,18
530,2020/5/20,Aomori,0
531,2020/5/20,Iwate,0
532,2020/5/20,Miyagi,0
533,2020/5/20,Akita,0
534,2020/5/20,Yamagata,2
535,2020/5/20,Fukushima,1
536,2020/5/20,Ibaraki,1
537,2020/5/20,Tochigi,5
538,2020/5/20,Gunma,1
539,2020/5/20,Saitama,4
540,2020/5/20,Chiba,10
541,2020/5/20,Tokyo,44
542,2020/5/20,Kanagawa,29
543,2020/5/20,Niigata,0
544,2020/5/20,Toyama,0
545,2020/5/20,Ishikawa,3
546,2020/5/20,Fukui,2
547,2020/5/20,Yamanashi,1
548,2020/5/20,Nagano,1
549,2020/5/20,Gifu,1
550,2020/5/20,Shizuoka,1
551,2020/5/20,Aichi,0
552,2020/5/20,Mie,0
553,2020/5/20,Shiga,1
554,2020/5/20,Kyoto,4
555,2020/5/20,Osaka,37
