,Date,Prefecture,Deaths(Cumulative)
472,2020/5/18,Fukuoka,25
473,2020/5/18,Saga,0
474,2020/5/18,Nagasaki,1
475,2020/5/18,Kumamoto,3
476,2020/5/18,Oita,1
477,2020/5/18,Miyazaki,0
478,2020/5/18,Kagoshima,0
479,2020/5/18,Okinawa,6
480,2020/5/19,ALL,771
481,2020/5/19,Hokkaido,76
482,2020/5/19,Aomori,1
483,2020/5/19,Iwate,0
484,2020/5/19,Miyagi,1
485,2020/5/19,Akita,0
486,2020/5/19,Yamagata,0
487,2020/5/19,Fukushima,0
488,2020/5/19,Ibaraki,9
489,2020/5/19,Tochigi,0
490,2020/5/19,Gunma,18
491,2020/5/19,Saitama,46
492,2020/5/19,Chiba,42
493,2020/5/19,Tokyo,244
494,2020/5/19,Kanagawa,68
495,2020/5/19,Niigata,0
496,2020/5/19,Toyama,20
497,2020/5/19,Ishikawa,22
498,2020/5/19,Fukui,8
499,2020/5/19,Yamanashi,0
500,2020/5/19,Nagano,0
501,2020/5/19,Gifu,7
502,2020/5/19,Shizuoka,1
503,2020/5/19,Aichi,34
504,2020/5/19,Mie,1
505,2020/5/19,Shiga,1
506,2020/5/19,Kyoto,14
507,2020/5/19,Osaka,70
508,2020/5/19,Hyogo,38
509,2020/5/19,Nara,2
510,2020/5/19,Wakayama,3
511,2020/5/19,Tottori,0
512,2020/5/19,Shimane,0
513,2020/5/19,Okayama,0
514,2020/5/19,Hiroshima,2
515,2020/5/19,Yamaguchi,0
516,2020/5/19,Tokushima,1
517,2020/5/19,Kagawa,0
518,2020/5/19,Ehime,3
519,2020/5/19,Kochi,3
520,2020/5/19,Fukuoka,25
521,2020/5/19,Saga,0
522,2020/5/19,Nagasaki,1
523,2020/5/19,Kumamoto,3
524,2020/5/19,Oita,1
525,2020/5/19,Miyazaki,0
526,2020/5/19,Kagoshima,0
527,2020/5/19,Okinawa,6
528,2020/5/20,ALL,777
529,2020/5/20,Hokkaido,77
530,2020/5/20,Aomori,1
531,2020/5/20,Iwate,0
532,2020/5/20,Miyagi,1
533,2020/5/20,Akita,0
534,2020/5/20,Yamagata,0
535,2020/5/20,Fukushima,0
536,2020/5/20,Ibaraki,9
537,2020/5/20,Tochigi,0
538,2020/5/20,Gunma,19
539,2020/5/20,Saitama,46
540,2020/5/20,Chiba,42
541,2020/5/20,Tokyo,247
542,2020/5/20,Kanagawa,68
543,2020/5/20,Niigata,0
544,2020/5/20,Toyama,20
545,2020/5/20,Ishikawa,22
546,2020/5/20,Fukui,8
547,2020/5/20,Yamanashi,0
548,2020/5/20,Nagano,0
549,2020/5/20,Gifu,7
550,2020/5/20,Shizuoka,1
551,2020/5/20,Aichi,34
552,2020/5/20,Mie,1
553,2020/5/20,Shiga,1
554,2020/5/20,Kyoto,14
555,2020/5/20,Osaka,71
556,2020/5/20,Hyogo,38
557,2020/5/20,Nara,2
558,2020/5/20,Wakayama,3
559,2020/5/20,Tottori,0
560,2020/5/20,Shimane,0
561,2020/5/20,Okayama,0
562,2020/5/20,Hiroshima,2
563,2020/5/20,Yamaguchi,0
564,2020/5/20,Tokushima,1
565,2020/5/20,Kagawa,0
566,2020/5/20,Ehime,3
567,2020/5/20,Kochi,3
568,2020/5/20,Fukuoka,25
569,2020/5/20,Saga,0
570,2020/5/20,Nagasaki,1
571,2020/5/20,Kumamoto,3
572,2020/5/20,Oita,1
573,2020/5/20,Miyazaki,0
574,2020/5/20,Kagoshima,0
575,2020/5/20,Okinawa,6
576,2020/5/21,ALL,796
577,2020/5/21,Hokkaido,77
578,2020/5/21,Aomori,1
579,2020/5/21,Iwate,0
580,2020/5/21,Miyagi,1
581,2020/5/21,Akita,0
582,2020/5/21,Yamagata,0
583,2020/5/21,Fukushima,0
584,2020/5/21,Ibaraki,9
585,2020/5/21,Tochigi,0
586,2020/5/21,Gunma,19
587,2020/5/21,Saitama,46
588,2020/5/21,Chiba,44
589,2020/5/21,Tokyo,256
590,2020/5/21,Kanagawa,69
591,2020/5/21,Niigata,0
592,2020/5/21,Toyama,21
593,2020/5/21,Ishikawa,22
594,2020/5/21,Fukui,8
595,2020/5/21,Yamanashi,0
596,2020/5/21,Nagano,0
597,2020/5/21,Gifu,7
598,2020/5/21,Shizuoka,1
599,2020/5/21,Aichi,34
600,2020/5/21,Mie,1
601,2020/5/21,Shiga,1
602,2020/5/21,Kyoto,14
603,2020/5/21,Osaka,76
604,2020/5/21,Hyogo,38
605,2020/5/21,Nara,2
606,2020/5/21,Wakayama,3
607,2020/5/21,Tottori,0
608,2020/5/21,Shimane,0
609,2020/5/21,Okayama,0
610,2020/5/21,Hiroshima,2
611,2020/5/21,Yamaguchi,0
612,2020/5/21,Tokushima,1
613,2020/5/21,Kagawa,0
614,2020/5/21,Ehime,4
615,2020/5/21,Kochi,3
616,2020/5/21,Fukuoka,25
617,2020/5/21,Saga,0
618,2020/5/21,Nagasaki,1
619,2020/5/21,Kumamoto,3
620,2020/5/21,Oita,1
621,2020/5/21,Miyazaki,0
622,2020/5/21,Kagoshima,0
623,2020/5/21,Okinawa,6
624,2020/5/22,ALL,808
625,2020/5/22,Hokkaido,78
626,2020/5/22,Aomori,1
627,2020/5/22,Iwate,0
628,2020/5/22,Miyagi,1
629,2020/5/22,Akita,0
630,2020/5/22,Yamagata,0
631,2020/5/22,Fukushima,0
632,2020/5/22,Ibaraki,9
633,2020/5/22,Tochigi,0
634,2020/5/22,Gunma,19
635,2020/5/22,Saitama,46
636,2020/5/22,Chiba,44
637,2020/5/22,Tokyo,263
638,2020/5/22,Kanagawa,71
639,2020/5/22,Niigata,0
640,2020/5/22,Toyama,21
641,2020/5/22,Ishikawa,24
642,2020/5/22,Fukui,8
643,2020/5/22,Yamanashi,0
644,2020/5/22,Nagano,0
645,2020/5/22,Gifu,7
646,2020/5/22,Shizuoka,1
647,2020/5/22,Aichi,34
648,2020/5/22,Mie,1
649,2020/5/22,Shiga,1
650,2020/5/22,Kyoto,14
651,2020/5/22,Osaka,76
652,2020/5/22,Hyogo,38
653,2020/5/22,Nara,2
654,2020/5/22,Wakayama,3
655,2020/5/22,Tottori,0
656,2020/5/22,Shimane,0
657,2020/5/22,Okayama,0
658,2020/5/22,Hiroshima,2
659,2020/5/22,Yamaguchi,0
660,2020/5/22,Tokushima,1
661,2020/5/22,Kagawa,0
662,2020/5/22,Ehime,4
663,2020/5/22,Kochi,3
664,2020/5/22,Fukuoka,25
665,2020/5/22,Saga,0
666,2020/5/22,Nagasaki,1
667,2020/5/22,Kumamoto,3
668,2020/5/22,Oita,1
669,2020/5/22,Miyazaki,0
670,2020/5/22,Kagoshima,0
671,2020/5/22,Okinawa,6
672,2020/5/23,ALL,820
673,2020/5/23,Hokkaido,78
674,2020/5/23,Aomori,1
675,2020/5/23,Iwate,0
676,2020/5/23,Miyagi,1
677,2020/5/23,Akita,0
678,2020/5/23,Yamagata,0
679,2020/5/23,Fukushima,0
680,2020/5/23,Ibaraki,9
681,2020/5/23,Tochigi,0
682,2020/5/23,Gunma,19
683,2020/5/23,Saitama,46
684,2020/5/23,Chiba,44
685,2020/5/23,Tokyo,271
686,2020/5/23,Kanagawa,71
687,2020/5/23,Niigata,0
688,2020/5/23,Toyama,21
689,2020/5/23,Ishikawa,24
690,2020/5/23,Fukui,8
691,2020/5/23,Yamanashi,0
692,2020/5/23,Nagano,0
693,2020/5/23,Gifu,7
694,2020/5/23,Shizuoka,1
695,2020/5/23,Aichi,34
696,2020/5/23,Mie,1
697,2020/5/23,Shiga,1
698,2020/5/23,Kyoto,14
699,2020/5/23,Osaka,78
700,2020/5/23,Hyogo,40
701,2020/5/23,Nara,2
702,2020/5/23,Wakayama,3
703,2020/5/23,Tottori,0
704,2020/5/23,Shimane,0
705,2020/5/23,Okayama,0
706,2020/5/23,Hiroshima,2
707,2020/5/23,Yamaguchi,0
708,2020/5/23,Tokushima,1
709,2020/5/23,Kagawa,0
710,2020/5/23,Ehime,4
711,2020/5/23,Kochi,3
712,2020/5/23,Fukuoka,25
713,2020/5/23,Saga,0
714,2020/5/23,Nagasaki,1
715,2020/5/23,Kumamoto,3
716,2020/5/23,Oita,1
717,2020/5/23,Miyazaki,0
718,2020/5/23,Kagoshima,0
719,2020/5/23,Okinawa,6
720,2020/5/24,ALL,830
