,date,tested
384,2021/02/26,57864.0
385,2021/02/27,29196.0
386,2021/02/28,19775.0
387,2021/03/01,60090.0
388,2021/03/02,82324.0
389,2021/03/03,30168.0
390,2021/03/04,68856.0
391,2021/03/05,45153.0
392,2021/03/06,31058.0
393,2021/03/07,14409.0
394,2021/03/08,67917.0
395,2021/03/09,40237.0
396,2021/03/10,60152.0
397,2021/03/11,56851.0
398,2021/03/12,55562.0
399,2021/03/13,31295.0
400,2021/03/14,17266.0
401,2021/03/15,49870.0
402,2021/03/16,47776.0
403,2021/03/17,84919.0
404,2021/03/18,54899.0
405,2021/03/19,71301.0
406,2021/03/20,30658.0
407,2021/03/21,16997.0
408,2021/03/22,51469.0
409,2021/03/23,52715.0
410,2021/03/24,59974.0
411,2021/03/25,62645.0
412,2021/03/26,67296.0
413,2021/03/27,39591.0
414,2021/03/28,18887.0
415,2021/03/29,72179.0
416,2021/03/30,41247.0
417,2021/03/31,67435.0
418,2021/04/01,65377.0
419,2021/04/02,61146.0
420,2021/04/03,41103.0
421,2021/04/04,17189.0
422,2021/04/05,60274.0
423,2021/04/06,53019.0
424,2021/04/07,58424.0
425,2021/04/08,70959.0
426,2021/04/09,67609.0
427,2021/04/10,40924.0
428,2021/04/11,22466.0
429,2021/04/12,72260.0
430,2021/04/13,65278.0
431,2021/04/14,73092.0
432,2021/04/15,82330.0
433,2021/04/16,77966.0
434,2021/04/17,50503.0
435,2021/04/18,30571.0
436,2021/04/19,86696.0
437,2021/04/20,70951.0
438,2021/04/21,96428.0
439,2021/04/22,94257.0
440,2021/04/23,91286.0
441,2021/04/24,58221.0
442,2021/04/25,35886.0
443,2021/04/26,83925.0
444,2021/04/27,81048.0
445,2021/04/28,68106.0
446,2021/04/29,91921.0
447,2021/04/30,64494.0
448,2021/05/01,68323.0
449,2021/05/02,36217.0
450,2021/05/03,44186.0
451,2021/05/04,27746.0
452,2021/05/05,67085.0
453,2021/05/06,89586.0
454,2021/05/07,109758.0
455,2021/05/08,71001.0
456,2021/05/09,41338.0
457,2021/05/10,130677.0
458,2021/05/11,97038.0
459,2021/05/12,87073.0
460,2021/05/13,122502.0
461,2021/05/14,99676.0
462,2021/05/15,66868.0
463,2021/05/16,35948.0
464,2021/05/17,95425.0
465,2021/05/18,86352.0
466,2021/05/19,149234.0
467,2021/05/20,97287.0
468,2021/05/21,117145.0
469,2021/05/22,66583.0
470,2021/05/23,35263.0
471,2021/05/24,91616.0
472,2021/05/25,70045.0
473,2021/05/26,87089.0
474,2021/05/27,116584.0
475,2021/05/28,118523.0
476,2021/05/29,57084.0
477,2021/05/30,30097.0
478,2021/05/31,83703.0
479,2021/06/01,67394.0
480,2021/06/02,76590.0
481,2021/06/03,176379.0
482,2021/06/04,98297.0
483,2021/06/05,54184.0
484,2021/06/06,26466.0
485,2021/06/07,75134.0
486,2021/06/08,62141.0
487,2021/06/09,63215.0
488,2021/06/10,74713.0
489,2021/06/11,99850.0
490,2021/06/12,51297.0
491,2021/06/13,25059.0
492,2021/06/14,60314.0
493,2021/06/15,61213.0
494,2021/06/16,65986.0
495,2021/06/17,70606.0
496,2021/06/18,69009.0
497,2021/06/19,43013.0
498,2021/06/20,31414.0
499,2021/06/21,58844.0
500,2021/06/22,52614.0
501,2021/06/23,62348.0
502,2021/06/24,60420.0
503,2021/06/25,89659.0
504,2021/06/26,43145.0
505,2021/06/27,21138.0
506,2021/06/28,62615.0
507,2021/06/29,61916.0
508,2021/06/30,67576.0
509,2021/07/01,77063.0
510,2021/07/02,67044.0
511,2021/07/03,38122.0
512,2021/07/04,17098.0
513,2021/07/05,58706.0
