,Date,Prefecture,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed
417,2020/5/17,Saga,15,30,2
418,2020/5/17,Kumamoto,10,35,3
419,2020/5/17,Oita,3,56,0
420,2020/5/17,Miyazaki,3,14,0
421,2020/5/17,Kagoshima,3,7,0
422,2020/5/17,Okinawa,13,123,0
423,2020/5/18,ALL,3400,11867,164
424,2020/5/18,Hokkaido,338,601,0
425,2020/5/18,Aomori,5,21,0
426,2020/5/18,Iwate,0,0,0
427,2020/5/18,Miyagi,2,85,0
428,2020/5/18,Akita,1,15,0
429,2020/5/18,Yamagata,11,58,0
430,2020/5/18,Fukushima,15,66,0
431,2020/5/18,Ibaraki,26,133,0
432,2020/5/18,Tochigi,19,40,1
433,2020/5/18,Gunma,33,96,0
434,2020/5/18,Saitama,182,763,0
435,2020/5/18,Chiba,196,662,0
436,2020/5/18,Tokyo,1192,3632,0
437,2020/5/18,Kanagawa,324,888,0
438,2020/5/18,Niigata,18,64,1
439,2020/5/18,Toyama,42,165,0
440,2020/5/18,Ishikawa,83,182,0
441,2020/5/18,Fukui,9,104,1
442,2020/5/18,Yamanashi,6,51,0
443,2020/5/18,Nagano,22,54,0
444,2020/5/18,Gifu,8,135,0
445,2020/5/18,Shizuoka,2,70,0
446,2020/5/18,Aichi,54,413,5
447,2020/5/18,Mie,5,39,0
448,2020/5/18,Shiga,19,79,0
449,2020/5/18,Kyoto,53,291,0
450,2020/5/18,Osaka,396,1294,11
451,2020/5/18,Hyogo,91,571,0
452,2020/5/18,Nara,9,79,0
453,2020/5/18,Wakayama,8,52,0
454,2020/5/18,Tottori,2,1,0
455,2020/5/18,Shimane,8,16,0
456,2020/5/18,Okayama,2,23,0
457,2020/5/18,Hiroshima,50,114,0
458,2020/5/18,Yamaguchi,3,34,0
459,2020/5/18,Tokushima,0,4,0
460,2020/5/18,Kagawa,1,27,0
461,2020/5/18,Ehime,27,43,0
462,2020/5/18,Kochi,4,67,0
463,2020/5/18,Fukuoka,83,550,0
464,2020/5/18,Saga,15,30,2
465,2020/5/18,Kumamoto,10,35,0
466,2020/5/18,Oita,3,56,0
467,2020/5/18,Miyazaki,3,14,0
468,2020/5/18,Kagoshima,3,7,0
469,2020/5/18,Okinawa,12,125,1
470,2020/5/19,ALL,3009,12269,165
471,2020/5/19,Hokkaido,319,620,0
472,2020/5/19,Aomori,5,21,0
473,2020/5/19,Iwate,0,0,0
474,2020/5/19,Miyagi,2,85,0
475,2020/5/19,Akita,1,15,0
476,2020/5/19,Yamagata,11,58,0
477,2020/5/19,Fukushima,15,66,0
478,2020/5/19,Ibaraki,26,133,0
479,2020/5/19,Tochigi,15,44,2
480,2020/5/19,Gunma,29,101,0
481,2020/5/19,Saitama,143,802,0
482,2020/5/19,Chiba,145,713,0
483,2020/5/19,Tokyo,978,3848,0
484,2020/5/19,Kanagawa,312,904,0
485,2020/5/19,Niigata,18,64,1
486,2020/5/19,Toyama,41,166,0
487,2020/5/19,Ishikawa,77,191,0
488,2020/5/19,Fukui,9,104,1
489,2020/5/19,Yamanashi,7,51,0
490,2020/5/19,Nagano,21,55,0
491,2020/5/19,Gifu,7,136,0
492,2020/5/19,Shizuoka,2,70,0
493,2020/5/19,Aichi,44,423,5
494,2020/5/19,Mie,5,39,0
495,2020/5/19,Shiga,17,81,0
496,2020/5/19,Kyoto,47,297,0
497,2020/5/19,Osaka,396,1294,11
498,2020/5/19,Hyogo,80,581,0
499,2020/5/19,Nara,7,81,0
500,2020/5/19,Wakayama,8,52,0
501,2020/5/19,Tottori,2,1,0
502,2020/5/19,Shimane,8,16,0
503,2020/5/19,Okayama,2,23,0
